calle;X;Y;;
DOCTOR WAKSMAN;39.45681044007770;-0.374562638439894;;
VALLADOLID;39.48867530440690;-0.358232616009397;;
TIRSO DE MOLINA;39.47847976049130;-0.392641940478794;;
MU-OZ SECA;39.47266197699570;-0.362102542927316;;
BLASCO IBArEZ;39.47812389360040;-0.363310344417099;;
BUEN ORDEN;39.46679586149340;-0.386566727939028;;
VIVES LIERN;39.46476504283250;-0.380551816890157;;
AZCARRAGA;39.47405789692060;-0.391538971349358;;
LUIS SANTANGEL;39.46167494240520;-0.366839920994198;;
MOSSEN FENOLLAR;39.46125528817620;-0.388921191000959;;
ALEJANDRO VOLTA;39.46789559492610;-0.415736594420036;;
CORTS VALENCIANES;39.49072265831060;-0.400134140646630;;
DOCTOR RAFAEL BARTUAL;39.45371705291380;-0.404150972043301;;
MASQUEFA;39.48948657235030;-0.358959553816496;;
SANTA MARIA MICAELA;39.47173810855400;-0.392965359479250;;
LLANTERNERS;39.46264315244220;-0.408898322207127;;
MUSICO MAGENTI;39.48315023718530;-0.359202469819728;;
OLIVERETA;39.47239568084960;-0.396213742927777;;
BURJASOT;39.49839404077200;-0.399884610466497;;
BRASIL;39.47112809513310;-0.396078277345146;;
ALAMEDA;39.45847049095880;-0.351075210230559;;
BLASCO IBArEZ;39.47912834887690;-0.363967318436024;;
MARQUES DEL TURIA;39.46742612595500;-0.367932673658841;;
ALBACETE;39.46534943553920;-0.382554227874150;;
JOSE BALLESTER GOZALVO;39.48113937281660;-0.324767863679079;;
BARON DE SAN PETRILLO;39.48679868628050;-0.360257185108490;;
JERONIMO MUgOZ;39.45937044786740;-0.387660590966843;;
LERIDA;39.48389429567900;-0.378426129716731;;
BLASCO IBArEZ;39.47691632293280;-0.356527007293081;;
DEMOCRACIA;39.47357601793140;-0.399411444288106;;
GASPAR AGUILAR;39.45751447635550;-0.389760421559775;;
JOSE BENLLIURE;39.46518924239700;-0.330884031002685;;
SAGUNTO;39.48839930155480;-0.375192336508945;;
CONSERVA;39.46400456483000;-0.345126223451826;;
BEHRING;39.44307762192110;-0.387395916401430;;
CUENCA TRAMOYERES;39.48315678342140;-0.360713055686294;;
JOAQUIN BALLESTER;39.48445774457970;-0.386310568894170;;
ALMAZORA;39.48308626313630;-0.371943368032027;;
SAGASTA;39.46974994189020;-0.373320987940687;;
ARQUITECTO ALFARO;39.46131053474450;-0.335793479370592;;
DIBUJANTE MANUEL GAGO;39.46218600275740;-0.391077517727628;;
FELIX DEL RIO (ACTIVISTA VEANAL);39.49117958981100;-0.383474179307215;;
COVADONGA;39.48684158773540;-0.378406036339681;;
DUQUE DE GAETA;39.46539381193360;-0.350124392083345;;
PADRE RICO;39.47191885342640;-0.389031728450359;;
ISMAEL BLAT (PINTOR);39.43251645967520;-0.390613985305754;;
VALLE DE AYORA;39.49129655810800;-0.397853559235980;;
POETA SERRANO CLAVERO;39.49302239616220;-0.388599038517428;;
ESCULTOR FRECHINA;39.45140782365930;-0.389614604256522;;
FLORESTA;39.46520656782460;-0.349448221001382;;
MU-OZ SECA;39.47325449907710;-0.361756366859997;;
POBLA DE FARNALS;39.46999338415210;-0.353168796714819;;
ANGEL GUIMERA;39.47027450886640;-0.385638007710770;;
MARIA CRISTINA;39.47296707962900;-0.377555526173333;;
ALAMEDA;39.45709416004800;-0.349087173437580;;
OEST;39.47266718138160;-0.379669998414814;;
BLANQUERIAS;39.47969829628610;-0.376934896045221;;
SUECIA;39.47504401405410;-0.359231649395563;;
ISLA CABRERA;39.44890680551780;-0.377499102182902;;
MUSICO CABANILLES;39.44519310717700;-0.392016384664029;;
CRONISTA RIVELLES;39.48080881553120;-0.373743575784521;;
HERNAN CORTES;39.46738493938740;-0.370800582490545;;
MAR;39.47356040856010;-0.371613712377220;;
JOAQUIN COSTA;39.46659455108690;-0.367427538109906;;
EMILIO BARO;39.48713012739220;-0.361250730856871;;
MERCADO;39.47388029137630;-0.378429100278996;;
ERNESTO FERRER;39.47187008489810;-0.355310038379327;;
JESUS;39.46612359614060;-0.383379024896985;;
SAN JOSE DE LA MONTAaA;39.47443445816220;-0.392852598377084;;
VALLADOLID;39.48881501582740;-0.359327424407760;;
CIUDAD DE MULA;39.47415595155660;-0.353844282389262;;
CERVANTES;39.46703160298620;-0.381883809999055;;
PERIS Y VALERO;39.45945862102680;-0.369982786724793;;
VINALOPO;39.47726396583900;-0.350423315340032;;
REAL DE GANDIA;39.48486814158340;-0.354818290396808;;
LUIS LAMARCA;39.47080915062080;-0.403173632189038;;
POETA MAS Y ROS;39.47031327760580;-0.348130631226943;;
BLASCO IBArEZ;39.47883668623330;-0.362981261250578;;
HORTICULTOR CORSET;39.47326117074850;-0.391727806954112;;
HIGINIO NOJA (PROFESSOR);39.46243989874360;-0.345837061139364;;
ARQUITECTO RODRIGUEZ;39.49563513827250;-0.367177921250239;;
TORRENTE;39.46165136092290;-0.402943504011360;;
JUAN DE GARAY;39.45463528243720;-0.394633581349125;;
CASTIELFABIB;39.47783254707690;-0.395440651638955;;
PINTOR SEGRELLES;39.46422638420320;-0.385688314190915;;
BRASIL;39.47078855073790;-0.395315198373525;;
JACA;39.48380306386160;-0.367292640350403;;
JUAN LLORENS;39.47406317905820;-0.391749820974913;;
MAESTRO PALAU;39.47156505957270;-0.384307375738941;;
DENIA;39.46204536000010;-0.377351244535489;;
PEREZ GALDOS;39.46507237334550;-0.388863123913752;;
CRONISTA ALMELA Y VIVES;39.47775773095560;-0.356022478917561;;
MANUEL CASTELLANOS;39.48675028842180;-0.361287500798290;;
CISCAR;39.46749006493940;-0.366691314550635;;
SU-SSA;39.45354512411370;-0.335462682898843;;
TORRETA DE MIRAMAR;39.48762326689800;-0.362718536459563;;
HISTORIADOR DIAGO;39.46648686557670;-0.385974186543038;;
VALLE DE LA BALLESTERA;39.48029953122440;-0.395069773831754;;
BILBAO;39.48698138149470;-0.372749871064720;;
PROFESOR BELTRAN BAGUENA;39.48074724661870;-0.389161870656529;;
CISCAR;39.46704302072340;-0.366381968333925;;
SERPIS;39.47288611807330;-0.338187765924346;;
ENGUERA;39.46723025087900;-0.395035314973442;;
SAN VICENTE MARTIR;39.46226708890640;-0.382193494790448;;
PEDRO III EL GRANDE;39.46299129994770;-0.367947167700169;;
BLASCO IBArEZ;39.47336585687910;-0.344427050419894;;
JUAN RAMON JIMENEZ;39.45524742566670;-0.376224416418676;;
JOSE BALLESTER GOZALVO;39.47487134335500;-0.324680620760868;;
PROFESOR BELTRAN BAGUENA;39.48210559960530;-0.390299109240630;;
EMILIO BARO;39.48463087016020;-0.362335027536624;;
