id;latitud_gps;longitud_gps;random
6256;39.472;-0.407;0.555938498
5066;39.484;-0.329;0.269908103
7424;39.515;-0.388;0.375875407
7584;39.454;-0.39;0.062241706
517;39.472;-0.377;0.513914776
11648;39.464;-0.352;0.349421536
1985;39.453;-0.375;0.724796956
9934;39.475;-0.355;0.002329045
2805;39.465;-0.387;0.804657608
11416;39.461;-0.347;0.164862056
13409;39.48;-0.417;0.84069109
3112;39.455;-0.387;0.231732715
2855;39.46;-0.385;0.02593861
2051;39.458;-0.374;0.153604866
7626;39.456;-0.392;0.550706283
8955;39.495;-0.377;0.025906497
10412;39.47;-0.337;0.090833468
1781;39.464;-0.362;0.026640638
11808;39.46;-0.336;0.938181887
7775;39.455;-0.392;0.063530695
3967;39.489;-0.376;0.225914592
7898;39.448;-0.386;0.634392914
12224;39.494;-0.384;0.876623197
7349;39.505;-0.365;0.591787328
761;39.472;-0.371;0.379206996
12036;39.493;-0.383;0.60339072
9299;39.483;-0.349;0.836119304
13441;39.474;-0.416;0.938969195
8511;39.471;-0.395;0.776534059
5865;39.438;-0.349;0.04298665
7051;39.483;-0.396;0.501296387
5689;39.456;-0.363;0.074296522
10050;39.467;-0.355;0.761641157
1055;39.47;-0.371;0.345041408
5798;39.444;-0.368;0.621147983
5950;39.463;-0.399;0.920201478
644;39.47;-0.377;0.349550971
3285;39.458;-0.392;0.264553366
996;39.469;-0.373;0.458613547
11895;39.453;-0.33;0.981555941
9348;39.489;-0.365;0.171683812
7272;39.495;-0.406;0.692751421
11557;39.465;-0.357;0.319232233
8134;39.47;-0.402;0.752874824
7208;39.481;-0.398;0.218594649
3370;39.474;-0.391;0.397224117
6653;39.477;-0.399;0.804974917
6876;39.481;-0.403;0.842240741
10082;39.47;-0.356;0.831135722
8934;39.495;-0.367;0.473504648
11516;39.464;-0.348;0.22185162
7422;39.515;-0.388;0.642640729
12225;39.493;-0.386;0.329588939
4617;39.479;-0.365;0.947511286
11497;39.462;-0.344;0.690627833
9471;39.489;-0.362;0.077917398
11431;39.463;-0.343;0.032369896
11387;39.463;-0.346;0.136752917
6217;39.468;-0.416;0.757237787
12851;39.478;-0.42;0.142072121
3928;39.488;-0.373;0.816954004
2881;39.458;-0.391;0.291699734
10489;39.473;-0.342;0.500454526
1916;39.46;-0.362;0.535048503
11011;39.472;-0.348;0.814298145
8354;39.468;-0.396;0.625001337
11565;39.461;-0.35;0.278908979
12767;39.503;-0.417;0.5973769
11705;39.456;-0.347;0.591797349
1093;39.471;-0.37;0.322238178
3305;39.464;-0.38;0.354756018
6129;39.469;-0.417;0.858142973
12288;39.494;-0.391;0.42730756
10919;39.472;-0.338;0.609730287
7068;39.479;-0.394;0.224203306
4380;39.489;-0.379;0.037728122
9924;39.473;-0.355;0.656748686
9172;39.489;-0.368;0.553334243
1983;39.459;-0.366;0.496255311
54;39.471;-0.378;0.337160499
1661;39.461;-0.369;0.353136343
8404;39.47;-0.394;0.665295209
12440;39.449;-0.38;0.426307756
8531;39.471;-0.398;0.899815005
4402;39.482;-0.383;0.239211438
7509;39.453;-0.39;0.994874793
3622;39.474;-0.387;0.294718679
5088;39.465;-0.329;0.93830046
12298;39.495;-0.385;0.643557295
13098;39.477;-0.415;0.066872842
845;39.478;-0.375;0.453899534
9258;39.483;-0.349;0.847598419
6850;39.485;-0.402;0.55025747
392;39.469;-0.378;0.761649355
11785;39.459;-0.338;0.083187172
8949;39.496;-0.374;0.122836642
5079;39.466;-0.329;0.699651922
7383;39.429;-0.363;0.045493609
4497;39.483;-0.362;0.001084646
2282;39.46;-0.368;0.892272031
11996;39.493;-0.393;0.304925266
7913;39.458;-0.393;0.161509104
6273;39.454;-0.402;0.382125127
6911;39.48;-0.4;0.191520273
10691;39.474;-0.345;0.270381142
1448;39.465;-0.371;0.45506331
10886;39.467;-0.348;0.84219742
10536;39.466;-0.337;0.499935359
2038;39.459;-0.372;0.569480412
3968;39.491;-0.375;0.326743653
12888;39.474;-0.418;0.187100401
5913;39.463;-0.401;0.308723227
483;39.472;-0.377;0.486289214
7640;39.446;-0.391;0.461485942
6342;39.455;-0.401;0.482841366
7735;39.451;-0.392;0.189023818
8786;39.493;-0.379;0.16199835
12683;39.499;-0.421;0.317038064
1155;39.468;-0.371;0.383120135
10485;39.47;-0.348;0.247437155
5520;39.454;-0.361;0.742990674
10544;39.471;-0.348;0.950820977
11604;39.461;-0.34;0.364653817
312;39.47;-0.375;0.148703143
9691;39.484;-0.357;0.672807024
10197;39.473;-0.35;0.629222399
7243;39.495;-0.405;0.923110158
6358;39.455;-0.405;0.967240079
10004;39.466;-0.354;0.287069128
1835;39.464;-0.368;0.966539018
2551;39.444;-0.367;0.72145144
2080;39.458;-0.375;0.166305888
1270;39.468;-0.369;0.88604853
2549;39.455;-0.38;0.689152694
11841;39.443;-0.338;0.934816237
2913;39.462;-0.386;0.328573276
7054;39.498;-0.4;0.269007371
1799;39.464;-0.362;0.265043586
8638;39.468;-0.4;0.231780974
6780;39.495;-0.397;0.521499821
8614;39.464;-0.398;0.957839867
10287;39.468;-0.36;0.352759485
928;39.475;-0.372;0.599297682
11163;39.459;-0.346;0.349054593
3783;39.475;-0.385;0.488323809
1119;39.461;-0.362;0.27204189
12247;39.493;-0.382;0.015365842
5235;39.464;-0.33;0.872848246
4778;39.461;-0.387;0.302448468
283;39.475;-0.38;0.714510541
13461;39.48;-0.425;0.184554412
12010;39.491;-0.379;0.593585699
6448;39.472;-0.41;0.422206436
10718;39.472;-0.338;0.275548762
6021;39.452;-0.404;0.001215698
1972;39.46;-0.366;0.875487583
12177;39.5;-0.395;0.952329198
4181;39.489;-0.379;0.448831137
2049;39.459;-0.372;0.168615705
12605;39.449;-0.382;0.932908082
6512;39.492;-0.4;0.82022175
3104;39.463;-0.384;0.788989485
11654;39.464;-0.352;0.707043192
2835;39.465;-0.382;0.168709007
1756;39.462;-0.366;0.823688095
12569;39.452;-0.379;0.13909194
1757;39.468;-0.366;0.637864719
2335;39.457;-0.363;0.752263522
5086;39.464;-0.329;0.107910239
12399;39.506;-0.384;0.000807941
9203;39.483;-0.349;0.307614779
7248;39.481;-0.398;0.825920656
5080;39.468;-0.33;0.223098656
1503;39.466;-0.369;0.843082335
5201;39.482;-0.327;0.025122338
9055;39.492;-0.371;0.696366462
2799;39.461;-0.391;0.276666014
1198;39.468;-0.372;0.366378714
12336;39.497;-0.393;0.548860669
369;39.47;-0.378;0.627905633
10189;39.468;-0.356;0.451427628
6991;39.491;-0.392;0.672401637
2440;39.456;-0.365;0.231266715
9762;39.48;-0.358;0.483192065
1430;39.466;-0.377;0.443332514
11301;39.461;-0.341;0.478598467
7545;39.45;-0.391;0.347645528
13406;39.478;-0.423;0.833770434
11764;39.461;-0.338;0.707245662
6379;39.469;-0.411;0.686167864
1045;39.472;-0.368;0.311180246
6829;39.495;-0.397;0.381134071
7659;39.446;-0.391;0.206935388
4603;39.481;-0.36;0.719373735
3175;39.462;-0.39;0.618130337
3991;39.488;-0.373;0.499561605
7785;39.45;-0.393;0.058044481
12934;39.477;-0.416;0.33223364
6678;39.493;-0.404;0.279328893
5933;39.464;-0.402;0.598351713
7556;39.451;-0.39;0.722136054
10717;39.474;-0.346;0.93623619
6635;39.487;-0.393;0.028831489
6965;39.49;-0.392;0.936513497
1539;39.463;-0.363;0.744628569
1684;39.466;-0.366;0.050957243
4040;39.486;-0.373;0.317567273
12163;39.49;-0.385;0.303225498
9321;39.483;-0.349;0.390137129
11271;39.457;-0.344;0.737132925
10044;39.479;-0.354;0.274734647
7005;39.478;-0.398;0.681744218
6774;39.479;-0.402;0.19509156
8309;39.469;-0.393;0.429442833
6724;39.495;-0.396;0.344579085
13044;39.478;-0.417;0.6046046
6627;39.487;-0.393;0.295756988
12635;39.448;-0.373;0.054151213
13039;39.477;-0.421;0.752824119
3202;39.461;-0.383;0.255203268
4782;39.475;-0.365;0.608660982
2164;39.464;-0.367;0.960516715
3628;39.474;-0.393;0.883482857
5960;39.455;-0.402;0.500081921
12663;39.499;-0.42;0.75830517
7802;39.454;-0.387;0.508937544
6130;39.455;-0.404;0.657280262
